downloaded,item_id,item_definition,category,12,18,21,28,32,33
2023-03-30,25,ALLIGATOR,animals,0,0,0,0,0,1
2023-03-30,26,ANIMAL,animals,0,0,0,1,1,0
2023-03-30,27,ANT/BUG,animals,0,1,1,0,1,1
2023-03-30,28,BEAR,animals,0,1,0,1,1,1
2023-03-30,29,BEE,animals,0,0,0,1,0,1
2023-03-30,30,BIRD/CHICKEN,animals,0,1,1,1,1,1
2023-03-30,31,BUNNY/RABBIT,animals,0,1,1,1,1,1
2023-03-30,32,BUTTERFLY,animals,0,1,0,1,1,1
2023-03-30,33,CAT,animals,0,1,1,1,1,1
2023-03-30,34,COW,animals,0,1,1,1,1,1
2023-03-30,35,DEER,animals,0,0,0,1,0,1
2023-03-30,36,DOG,animals,1,1,1,1,1,1
2023-03-30,37,DONKEY,animals,0,0,0,0,0,1
2023-03-30,38,DUCK,animals,0,1,1,1,1,1
2023-03-30,39,ELEPHANT,animals,0,0,0,1,1,1
2023-03-30,40,FISH,animals,0,1,1,1,1,1
2023-03-30,41,FOX,animals,0,0,0,0,0,0
2023-03-30,42,FROG,animals,0,0,0,1,1,1
2023-03-30,43,GIRAFFE,animals,0,0,0,1,0,1
2023-03-30,44,HEN,animals,0,0,0,0,0,0
2023-03-30,45,HORSE,animals,0,1,1,1,1,1
2023-03-30,46,LION,animals,1,0,0,1,0,1
2023-03-30,47,MONKEY,animals,0,0,0,1,1,1
2023-03-30,48,MOUSE,animals,0,1,1,1,1,1
2023-03-30,49,OWL,animals,0,1,0,1,0,0
2023-03-30,50,PIG,animals,0,1,0,1,1,1
2023-03-30,51,ROOSTER,animals,0,0,0,1,0,0
2023-03-30,52,SHEEP,animals,0,0,0,1,0,1
2023-03-30,53,SKUNK,animals,0,0,0,1,0,0
2023-03-30,54,SNAKE,animals,0,0,0,1,0,1
2023-03-30,55,SPIDER,animals,0,1,0,1,1,0
2023-03-30,56,SQUIRREL,animals,0,0,0,1,1,1
2023-03-30,57,TIGER,animals,0,0,0,1,0,1
2023-03-30,58,TURKEY,animals,0,0,0,1,0,1
2023-03-30,59,TURTLE,animals,0,1,0,1,1,1
2023-03-30,60,WOLF,animals,0,0,0,1,0,0
