downloaded,data_id,item_kind,category,item_id,item_definition,english_gloss,uni_lemma,child_id,age,value
2023-03-30,66592,first_signs,NA,item_1,Respond to his/her name sign?,NA,NA,58250,18,yes
2023-03-30,66592,first_signs,NA,item_2,Respond to NO or FINISH by stopping what he/she is doing?,NA,NA,58250,18,yes
2023-03-30,66592,first_signs,NA,item_3,Looking for mommy/daddy if you sign WHERE MOMMY/DADDY?,NA,NA,58250,18,yes
2023-03-30,66592,phrases,NA,item_4,BE-CAREFUL,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_5,BRING-ME,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_6,CHANGE DIAPER,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_7,COME-HERE,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_8,DADDY/MOMMY HOME,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_9,DON’T TOUCH/NO TOUCH,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_10,FINISH,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_11,GET-UP,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_12,GIVE-TO MOMMY,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_13,GIVE-ME HUG,NA,NA,58250,18,NA
2023-03-30,66592,phrases,NA,item_14,GIVE-ME KISS,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_15,GOOD GIRL/BOY,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_16,OPEN YOUR MOUTH,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_17,SIT-DOWN,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_18,SPIT IT OUT,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_19,TIME GO BYE-BYE,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_20,THROW BALL,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_21,YOU HUNGRY?,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_22,YOU TIRED/SLEEPY?,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_23,YOU-WANT GO?,NA,NA,58250,18,understands
2023-03-30,66592,phrases,NA,item_24,YOU-WANT MORE?,NA,NA,58250,18,understands
2023-03-30,66592,word,animals,item_25,ALLIGATOR,alligator,crocodile,58250,18,NA
2023-03-30,66592,word,animals,item_26,ANIMAL,animal,animal,58250,18,NA
2023-03-30,66592,word,animals,item_27,ANT/BUG,ant/bug,bug,58250,18,produces
2023-03-30,66592,word,animals,item_28,BEAR,bear,bear,58250,18,produces
2023-03-30,66592,word,animals,item_29,BEE,bee,bee,58250,18,NA
2023-03-30,66592,word,animals,item_30,BIRD/CHICKEN,bird/chicken,bird,58250,18,produces
2023-03-30,66592,word,animals,item_31,BUNNY/RABBIT,bunny/rabbit,bunny,58250,18,produces
2023-03-30,66592,word,animals,item_32,BUTTERFLY,butterfly,butterfly,58250,18,produces
2023-03-30,66592,word,animals,item_33,CAT,cat,cat,58250,18,produces
2023-03-30,66592,word,animals,item_34,COW,cow,cow,58250,18,produces
2023-03-30,66592,word,animals,item_35,DEER,deer,deer,58250,18,understands
2023-03-30,66592,word,animals,item_36,DOG,dog,dog,58250,18,produces
2023-03-30,66592,word,animals,item_37,DONKEY,donkey,donkey,58250,18,NA
2023-03-30,66592,word,animals,item_38,DUCK,duck,duck,58250,18,produces
2023-03-30,66592,word,animals,item_39,ELEPHANT,elephant,elephant,58250,18,understands
2023-03-30,66592,word,animals,item_40,FISH,fish,fish (animal),58250,18,produces
2023-03-30,66592,word,animals,item_41,FOX,fox,fox,58250,18,NA
