child_id,age_in_months,vocabulary_item_definition,item_category,production_ability,comprehension_ability
1,12,Respond to his/her name sign?,NA,no,no
1,12,Respond to NO or FINISH by stopping what he/she is doing?,NA,yes,yes
1,12,Looking for mommy/daddy if you sign WHERE MOMMY/DADDY?,NA,yes,yes
1,12,BE-CAREFUL,NA,NA,NA
1,12,BRING-ME,NA,NA,NA
1,12,CHANGE DIAPER,NA,no,yes
1,12,COME-HERE,NA,no,yes
1,12,DADDY/MOMMY HOME,NA,no,yes
1,12,DON’T TOUCH/NO TOUCH,NA,no,yes
1,12,FINISH,NA,no,yes
1,12,GET-UP,NA,no,yes
1,12,GIVE-TO MOMMY,NA,no,yes
1,12,GIVE-ME HUG,NA,no,yes
1,12,GIVE-ME KISS,NA,no,yes
1,12,GOOD GIRL/BOY,NA,NA,NA
1,12,OPEN YOUR MOUTH,NA,no,yes
1,12,SIT-DOWN,NA,no,yes
1,12,SPIT IT OUT,NA,no,yes
1,12,TIME GO BYE-BYE,NA,no,yes
1,12,THROW BALL,NA,NA,NA
1,12,YOU HUNGRY?,NA,no,yes
1,12,YOU TIRED/SLEEPY?,NA,no,yes
1,12,YOU-WANT GO?,NA,no,yes
1,12,YOU-WANT MORE?,NA,no,yes
1,12,ALLIGATOR,animals,NA,NA
1,12,ANIMAL,animals,NA,NA
1,12,ANT/BUG,animals,NA,NA
1,12,BEAR,animals,NA,NA
1,12,BEE,animals,NA,NA
1,12,BIRD/CHICKEN,animals,NA,NA
1,12,BUNNY/RABBIT,animals,NA,NA
1,12,BUTTERFLY,animals,NA,NA
1,12,CAT,animals,NA,NA
1,12,COW,animals,no,yes
1,12,DEER,animals,NA,NA
1,12,DOG,animals,yes,no
1,12,DONKEY,animals,NA,NA
1,12,DUCK,animals,no,yes
1,12,ELEPHANT,animals,no,yes
1,12,FISH,animals,no,yes
1,12,FOX,animals,NA,NA
1,12,FROG,animals,NA,NA
1,12,GIRAFFE,animals,no,yes
1,12,HEN,animals,NA,NA
1,12,HORSE,animals,no,yes
1,12,LION,animals,yes,no
1,12,MONKEY,animals,NA,NA
1,12,MOUSE,animals,NA,NA
1,12,OWL,animals,NA,NA
1,12,PIG,animals,NA,NA
1,12,ROOSTER,animals,NA,NA
1,12,SHEEP,animals,NA,NA
1,12,SKUNK,animals,NA,NA
1,12,SNAKE,animals,NA,NA
1,12,SPIDER,animals,NA,NA
1,12,SQUIRREL,animals,NA,NA
1,12,TIGER,animals,NA,NA
1,12,TURKEY,animals,NA,NA
1,12,TURTLE,animals,NA,NA
1,12,WOLF,animals,NA,NA
1,12,ZEBRA,animals,NA,NA
1,12,BELT,clothing,NA,NA
1,12,BIB,clothing,no,yes
1,12,BOOT,clothing,NA,NA
1,12,BUTTON,clothing,NA,NA
1,12,COAT/JACKET,clothing,NA,NA
1,12,DIAPER,clothing,NA,NA
1,12,DRESS/CLOTHES,clothing,NA,NA
1,12,EARRING,clothing,NA,NA
1,12,GLASSES,clothing,NA,NA
1,12,GLOVES,clothing,NA,NA
1,12,HAT,clothing,NA,NA
1,12,HEARING AID,clothing,NA,NA
1,12,NECKLACE,clothing,NA,NA
1,12,PAJAMAS,clothing,NA,NA
1,12,PANTS,clothing,NA,NA
1,12,SANDAL,clothing,NA,NA
1,12,SCARF,clothing,NA,NA
1,12,SHIRT,clothing,NA,NA
1,12,SHOE,clothing,NA,NA
1,12,SNOWSUIT,clothing,NA,NA
1,12,SOCK,clothing,NA,NA
1,12,SWEATER,clothing,NA,NA
1,12,SWIMSUIT,clothing,NA,NA
1,12,UNDERPANTS,clothing,NA,NA
1,12,WRISTWATCH,clothing,NA,NA
1,12,ZIPPER,clothing,NA,NA
1,12,AFTER,time_words,NA,NA
1,12,BEFORE,time_words,NA,NA
1,12,DAY,time_words,NA,NA
1,12,LATER,time_words,NA,NA
1,12,MORNING,time_words,NA,NA
1,12,NIGHT,time_words,NA,NA
1,12,NOT-YET,time_words,NA,NA
1,12,NOW,time_words,NA,NA
1,12,SOON,time_words,NA,NA
1,12,TIME,time_words,NA,NA
1,12,TODAY,time_words,NA,NA
1,12,TOMORROW,time_words,NA,NA
1,12,TONIGHT,time_words,NA,NA
1,12,YESTERDAY,time_words,NA,NA
1,12,AWAY,action_words,NA,NA
1,12,BITE,action_words,NA,NA
1,12,BLOW,action_words,NA,NA
1,12,BREAK,action_words,NA,NA
1,12,BRING/CARRY,action_words,NA,NA
1,12,BUILD,action_words,NA,NA
1,12,BUY,action_words,NA,NA
1,12,CATCH,action_words,NA,NA
1,12,CHASE,action_words,NA,NA
1,12,CHAT,action_words,NA,NA
1,12,CLAP,action_words,NA,NA
1,12,CLEAN,action_words,NA,NA
1,12,CLIMB,action_words,NA,NA
1,12,CLOSE,action_words,NA,NA
1,12,COOK,action_words,NA,NA
1,12,CRY,action_words,NA,NA
1,12,CUT,action_words,NA,NA
1,12,DANCE,action_words,NA,NA
1,12,DRAW,action_words,NA,NA
1,12,DRINK,action_words,NA,NA
1,12,DROP,action_words,NA,NA
1,12,EAT,action_words,NA,NA
1,12,ENTER,action_words,NA,NA
1,12,FALL,action_words,NA,NA
1,12,FEED,action_words,NA,NA
1,12,FIND,action_words,NA,NA
1,12,FINISH,action_words,NA,NA
1,12,FIX,action_words,NA,NA
1,12,GET/TAKE,action_words,NA,NA
1,12,GET-A-SHOT,action_words,NA,NA
1,12,GIVE,action_words,NA,NA
1,12,GO,action_words,NA,NA
1,12,HAVE,action_words,NA,NA
1,12,HEAR,action_words,NA,NA
1,12,HELP,action_words,NA,NA
1,12,HIDE,action_words,NA,NA
1,12,HIT,action_words,NA,NA
1,12,HOLD,action_words,NA,NA
1,12,HUG,action_words,NA,NA
1,12,HURRY,action_words,NA,NA
1,12,JUMP,action_words,NA,NA
1,12,KICK,action_words,NA,NA
1,12,KISS,action_words,NA,NA
1,12,KNOCK,action_words,NA,NA
1,12,LEARN,action_words,NA,NA
1,12,LICK,action_words,NA,NA
1,12,LIKE,action_words,NA,NA
1,12,LOOK,action_words,NA,NA
1,12,LOVE,action_words,NA,NA
1,12,MAKE,action_words,NA,NA
1,12,NEED,action_words,NA,NA
1,12,OPEN,action_words,NA,NA
1,12,PAINT,action_words,NA,NA
1,12,PICK/CHOOSE,action_words,NA,NA
1,12,PLAY,action_words,NA,NA
1,12,POUR,action_words,NA,NA
1,12,PULL,action_words,NA,NA
1,12,PUSH,action_words,NA,NA
1,12,PUT,action_words,NA,NA
1,12,READ,action_words,NA,NA
1,12,RIDE-IN,action_words,NA,NA
1,12,RUN,action_words,NA,NA
1,12,SAY,action_words,NA,NA
1,12,SEARCH-FOR,action_words,NA,NA
1,12,SEE,action_words,NA,NA
1,12,SHAKE,action_words,NA,NA
1,12,SHARE,action_words,NA,NA
1,12,SHOW,action_words,NA,NA
1,12,SIGN,action_words,NA,NA
1,12,SIT,action_words,NA,NA
1,12,SKATE,action_words,NA,NA
1,12,SLEEP,action_words,NA,NA
1,12,SLIDE,action_words,NA,NA
1,12,SMILE,action_words,NA,NA
1,12,SPILL,action_words,NA,NA
1,12,STAND,action_words,NA,NA
1,12,STAY,action_words,NA,NA
1,12,STOP,action_words,NA,NA
1,12,SWIM,action_words,NA,NA
1,12,SWING,action_words,NA,NA
1,12,TAKE-PILL,action_words,NA,NA
1,12,TALK,action_words,NA,NA
1,12,TASTE,action_words,NA,NA
1,12,TEACH,action_words,NA,NA
1,12,TEAR/RIP,action_words,NA,NA
1,12,TELL,action_words,NA,NA
1,12,THINK,action_words,NA,NA
1,12,THROW,action_words,NA,NA
1,12,TOUCH,action_words,NA,NA
1,12,WAIT,action_words,NA,NA
1,12,WALK,action_words,NA,NA
1,12,WASH,action_words,NA,NA
1,12,WATCH,action_words,NA,NA
1,12,WORK,action_words,NA,NA
1,12,BASEMENT,furniture_rooms,NA,NA
1,12,BATHROOM/TOILET,furniture_rooms,NA,NA
1,12,BATHTUB,furniture_rooms,NA,NA
1,12,BED,furniture_rooms,NA,NA
1,12,BEDROOM,furniture_rooms,no,yes
1,12,CLOSET,furniture_rooms,NA,NA
1,12,DOOR,furniture_rooms,NA,NA
1,12,DRAWER,furniture_rooms,no,yes
1,12,DRYER,furniture_rooms,NA,NA
1,12,GARAGE,furniture_rooms,NA,NA
1,12,KITCHEN,furniture_rooms,no,yes
1,12,LIVING ROOM,furniture_rooms,NA,NA
1,12,MIRROR,furniture_rooms,no,yes
1,12,REFRIGERATOR,furniture_rooms,NA,NA
1,12,ROCKING CHAIR,furniture_rooms,no,yes
1,12,ROOM,furniture_rooms,no,yes
1,12,SHOWER,furniture_rooms,no,yes
1,12,STAIRS,furniture_rooms,NA,NA
1,12,TABLE,furniture_rooms,NA,NA
1,12,TV,furniture_rooms,no,yes
1,12,WASH MACHINE,furniture_rooms,NA,NA
1,12,WINDOW,furniture_rooms,no,yes
